"Title","Sex","Age_Class","Year"
"9916",NA,"Adult",1999
"1","Male","Adult",2001
"1019","FemaleJ","Adult",2001
"102","Male","Adult",2001
"1173","Male","Adult",2001
"1313","FemaleJ","Adult",2001
"1336","FemaleJ","Adult",2001
"1364","FemaleJ","Adult",2001
"16","Male","Adult",2001
"1642",NA,"Adult",2001
"1676","Male","Adult",2001
"17","FemaleJ","Adult",2001
"1707",NA,"Adult",2001
"1715",NA,"Adult",2001
"1716",NA,"Adult",2001
"1720",NA,"Adult",2001
"1721",NA,"Adult",2001
"1723",NA,"Adult",2001
"1730",NA,"Juvenile",2001
"1735",NA,"Adult",2001
"1737",NA,"Adult",2001
"1739","Male","Adult",2001
"1744",NA,"Adult",2001
"1749",NA,"Adult",2001
"1750",NA,"Adult",2001
"1752",NA,"Adult",2001
"1753",NA,"Adult",2001
"1755",NA,"Adult",2001
"1756",NA,"Adult",2001
"1757","FemaleJ","Adult",2001
"1759",NA,"Adult",2001
"1764",NA,"Adult",2001
"1765",NA,"Adult",2001
"1771",NA,"Adult",2001
"1772",NA,"Adult",2001
"1774",NA,"Adult",2001
"1777",NA,"Adult",2001
"1779","Male","Adult",2001
"1791",NA,"Adult",2001
"1796",NA,"Adult",2001
"1803",NA,"Adult",2001
"1804",NA,"Adult",2001
"1818",NA,"Adult",2001
"1825",NA,"Adult",2001
"1829","Male","Adult",2001
"1832","FemaleJ","Adult",2001
"213",NA,"Adult",2001
"28","Male","Adult",2001
"293","Male","Adult",2001
"3","Male","Adult",2001
"33","Male","Adult",2001
"37","Male","Adult",2001
"45","Male","Adult",2001
"480","Male","Adult",2001
"5",NA,"Adult",2001
"507","FemaleJ","Adult",2001
"531","FemaleJ","Adult",2001
"57",NA,"Adult",2001
"606","Male","Adult",2001
"653","FemaleJ","Adult",2001
"677","FemaleJ","Adult",2001
"824","Male","Adult",2001
